gene ID,gene name,Subject sequence ID,% of identical matches,Alignment length,Mistmatches,Gap openings,Start of alignment query,End of alignment query,Start of alignment subject ,End of alignment subject,E-value,Bit score,Protein annotations
gene15076,LOC106927090,sp|Q16637|SMN_HUMAN,41.07,56,31,1,1773,1934,89,144,9.00E-06,49.3,Survival motor neuron protein OS=Homo sapiens GN=SMN1 PE=1 SV=1
gene15077,LOC106927096,sp|Q16568|CART_HUMAN,81.25,32,6,0,1622,1717,84,115,1.00E-09,56.6,Cocaine- and amphetamine-regulated transcript protein OS=Homo sapiens GN=CARTPT PE=1 SV=1
gene15079,LOC106927092,sp|Q16566|KCC4_HUMAN,81.4,43,8,0,16884,17012,235,277,3.00E-16,86.3,Calcium/calmodulin-dependent protein kinase type IV OS=Homo sapiens GN=CAMK4 PE=1 SV=1
gene15081,LOC106927093,sp|P17542|TAL1_HUMAN,77.94,68,15,0,1004,1207,187,254,8.00E-28,114,T-cell acute lymphocytic leukemia protein 1 OS=Homo sapiens GN=TAL1 PE=1 SV=2
gene15083,efna2,sp|P52803|EFNA5_HUMAN,58.39,137,56,1,420,830,42,177,4.00E-46,166,Ephrin-A5 OS=Homo sapiens GN=EFNA5 PE=1 SV=1
gene15084,LOC106927101,sp|Q5VVH5|IKBP1_HUMAN,34.34,99,39,2,935,1231,99,171,3.00E-10,61.2,Interleukin-1 receptor-associated kinase 1-binding protein 1 OS=Homo sapiens GN=IRAK1BP1 PE=1 SV=1
gene15086,LOC106927102,sp|Q5VVH5|IKBP1_HUMAN,34.34,99,39,2,937,1233,99,171,3.00E-10,61.2,Interleukin-1 receptor-associated kinase 1-binding protein 1 OS=Homo sapiens GN=IRAK1BP1 PE=1 SV=1
gene15088,phip,sp|Q8WWQ0|PHIP_HUMAN,86.59,82,11,0,18174,18419,551,632,3.00E-63,168,PH-interacting protein OS=Homo sapiens GN=PHIP PE=1 SV=2
gene15090,LOC106927109,sp|Q9UJA9|ENPP5_HUMAN,60.63,254,98,1,16275,17036,26,277,3.00E-103,342,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 OS=Homo sapiens GN=ENPP5 PE=2 SV=1
gene15091,enpp5,sp|Q9UJA9|ENPP5_HUMAN,60.63,254,98,1,2998,3759,26,277,7.00E-104,342,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 OS=Homo sapiens GN=ENPP5 PE=2 SV=1
gene15092,clic5,sp|Q9NZA1|CLIC5_HUMAN,94.87,39,2,0,10482,10598,179,217,1.00E-31,82.4,Chloride intracellular channel protein 5 OS=Homo sapiens GN=CLIC5 PE=1 SV=3
gene15093,LOC106927107,sp|Q13950|RUNX2_HUMAN,75.46,163,34,3,61079,61558,362,521,7.00E-68,242,Runt-related transcription factor 2 OS=Homo sapiens GN=RUNX2 PE=1 SV=2
gene15094,LOC106927110,sp|Q6WCQ1|MPRIP_HUMAN,46.67,135,25,2,21837,22241,403,490,2.00E-26,120,Myosin phosphatase Rho-interacting protein OS=Homo sapiens GN=MPRIP PE=1 SV=3
gene15095,LOC106927112,sp|P26368|U2AF2_HUMAN,84.31,51,8,0,3207,3359,199,249,8.00E-31,94.4,Splicing factor U2AF 65 kDa subunit OS=Homo sapiens GN=U2AF2 PE=1 SV=4
gene15096,LOC106927111,sp|A6NNS2|DRS7C_HUMAN,62.67,75,28,0,4014,4238,87,161,6.00E-29,101,Dehydrogenase/reductase SDR family member 7C OS=Homo sapiens GN=DHRS7C PE=2 SV=3
gene15098,LOC106927115,sp|Q8N6N6|NATD1_HUMAN,38.89,90,32,1,1253,1522,41,107,8.00E-15,70.9,Protein NATD1 OS=Homo sapiens GN=NATD1 PE=1 SV=2
gene15099,LOC106927114,sp|P45985|MP2K4_HUMAN,61.66,193,18,2,7662,8240,35,171,6.00E-90,213,Dual specificity mitogen-activated protein kinase kinase 4 OS=Homo sapiens GN=MAP2K4 PE=1 SV=1
gene151,LOC106926303,sp|P14859|PO2F1_HUMAN,95.83,48,2,0,74243,74386,306,353,8.00E-33,106,"POU domain, class 2, transcription factor 1 OS=Homo sapiens GN=POU2F1 PE=1 SV=2"
gene15100,tmem220,sp|Q6QAJ8|TM220_HUMAN,52.5,40,19,0,1605,1724,121,160,5.00E-11,59.3,Transmembrane protein 220 OS=Homo sapiens GN=TMEM220 PE=2 SV=1
gene15101,LOC106927118,sp|O75880|SCO1_HUMAN,47.2,125,40,1,1316,1690,127,225,1.00E-30,123,"Protein SCO1 homolog, mitochondrial OS=Homo sapiens GN=SCO1 PE=1 SV=1"
gene15102,LOC106927116,sp|Q9Y623|MYH4_HUMAN,75.76,132,8,1,5686,6081,422,529,1.00E-97,211,Myosin-4 OS=Homo sapiens GN=MYH4 PE=1 SV=2
gene15104,gas7,sp|O60861|GAS7_HUMAN,90.48,42,4,0,20390,20515,339,380,2.00E-13,77,Growth arrest-specific protein 7 OS=Homo sapiens GN=GAS7 PE=1 SV=3
gene15105,rcvrn,sp|P35243|RECO_HUMAN,71.64,134,38,0,492,893,1,134,3.00E-57,192,Recoverin OS=Homo sapiens GN=RCVRN PE=1 SV=2
gene15106,LOC106927123,sp|Q6UXU4|GSG1L_HUMAN,37.98,129,26,2,10220,10606,183,257,7.00E-17,84.7,Germ cell-specific gene 1-like protein OS=Homo sapiens GN=GSG1L PE=1 SV=2
gene15107,LOC106927124,sp|Q6UXU4|GSG1L_HUMAN,37.98,129,26,2,2824,3210,183,257,3.00E-17,84.7,Germ cell-specific gene 1-like protein OS=Homo sapiens GN=GSG1L PE=1 SV=2
gene15108,elac2,sp|Q9BQ52|RNZ2_HUMAN,80,50,10,0,7396,7545,703,752,7.00E-19,94,Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens GN=ELAC2 PE=1 SV=2
gene15109,prickle2,sp|Q7Z3G6|PRIC2_HUMAN,50.33,302,130,5,103711,104580,261,554,8.00E-59,224,Prickle-like protein 2 OS=Homo sapiens GN=PRICKLE2 PE=1 SV=2
gene15111,LOC106927130,sp|Q9NRM0|GTR9_HUMAN,38.81,67,41,0,3334,3534,269,335,2.00E-22,54.3,"Solute carrier family 2, facilitated glucose transporter member 9 OS=Homo sapiens GN=SLC2A9 PE=1 SV=2"
gene15112,psmd6,sp|Q15008|PSMD6_HUMAN,78.81,151,5,1,1726,2178,117,240,1.00E-67,233,26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens GN=PSMD6 PE=1 SV=1
gene15113,atxn7,sp|O15265|ATX7_HUMAN,38.74,302,103,9,35788,36657,330,561,1.00E-39,164,Ataxin-7 OS=Homo sapiens GN=ATXN7 PE=1 SV=1
gene15114,thoc7,sp|Q6I9Y2|THOC7_HUMAN,63.16,57,21,0,832,1002,32,88,2.00E-22,80.9,THO complex subunit 7 homolog OS=Homo sapiens GN=THOC7 PE=1 SV=3
gene15115,LOC106927126,sp|P20591|MX1_HUMAN,35.48,372,109,5,1566,2681,244,484,2.00E-86,191,Interferon-induced GTP-binding protein Mx1 OS=Homo sapiens GN=MX1 PE=1 SV=4
gene15116,synpr,sp|Q8TBG9|SYNPR_HUMAN,46.95,164,38,1,11283,11774,2,116,8.00E-37,142,Synaptoporin OS=Homo sapiens GN=SYNPR PE=1 SV=1
gene15117,zbtb49,sp|Q6ZSB9|ZBT49_HUMAN,35.14,461,190,13,1767,3047,50,435,6.00E-63,200,Zinc finger and BTB domain-containing protein 49 OS=Homo sapiens GN=ZBTB49 PE=1 SV=3
gene15118,lyar,sp|Q9NX58|LYAR_HUMAN,37.5,120,28,2,2668,3027,307,379,3.00E-15,78.6,Cell growth-regulating nucleolar protein OS=Homo sapiens GN=LYAR PE=1 SV=2
gene15119,tmem128,sp|Q5BJH2|TM128_HUMAN,90.62,32,3,0,9932,10027,134,165,7.00E-10,60.8,Transmembrane protein 128 OS=Homo sapiens GN=TMEM128 PE=1 SV=1
gene15120,otop1,sp|Q7RTM1|OTOP1_HUMAN,46.34,205,108,2,6626,7237,251,454,6.00E-49,186,Otopetrin-1 OS=Homo sapiens GN=OTOP1 PE=2 SV=1
gene15121,LOC106927136,sp|P21918|DRD5_HUMAN,69.55,440,109,6,2820,4070,40,477,2.00E-180,552,D(1B) dopamine receptor OS=Homo sapiens GN=DRD5 PE=1 SV=2
gene15122,LOC106927143,sp|Q9Y4W6|AFG32_HUMAN,83.78,74,12,0,8320,8541,588,661,6.00E-56,136,AFG3-like protein 2 OS=Homo sapiens GN=AFG3L2 PE=1 SV=2
gene15123,LOC106927144,sp|Q7Z3S7|CA2D4_HUMAN,49.12,57,23,1,12470,12622,1052,1108,1.00E-09,64.7,Voltage-dependent calcium channel subunit alpha-2/delta-4 OS=Homo sapiens GN=CACNA2D4 PE=1 SV=2
gene15129,etaa1,sp|Q9NY74|ETAA1_HUMAN,26.75,243,78,7,1363,1971,117,299,8.00E-07,53.5,Ewing's tumor-associated antigen 1 OS=Homo sapiens GN=ETAA1 PE=1 SV=2
gene1513,LOC106927240,sp|Q8WVX9|FACR1_HUMAN,64.06,64,23,0,23267,23458,1,64,2.00E-18,93.2,Fatty acyl-CoA reductase 1 OS=Homo sapiens GN=FAR1 PE=1 SV=1
gene15130,c1d,sp|Q13901|C1D_HUMAN,50,88,17,1,991,1254,63,123,3.00E-19,84.3,Nuclear nucleic acid-binding protein C1D OS=Homo sapiens GN=C1D PE=1 SV=1
gene15132,LOC106927149,sp|Q9Y530|OARD1_HUMAN,40.52,116,27,1,217,564,14,87,4.00E-34,86.7,O-acetyl-ADP-ribose deacetylase 1 OS=Homo sapiens GN=OARD1 PE=1 SV=2
gene15133,sema7a,sp|Q6UXK2|ISLR2_HUMAN,44.52,748,351,12,18189,20300,15,742,1.00E-178,570,Immunoglobulin superfamily containing leucine-rich repeat protein 2 OS=Homo sapiens GN=ISLR2 PE=2 SV=1
gene15134,islr2,sp|Q6UXK2|ISLR2_HUMAN,44.52,748,351,12,917,3028,15,742,1.00E-99,570,Immunoglobulin superfamily containing leucine-rich repeat protein 2 OS=Homo sapiens GN=ISLR2 PE=2 SV=1
gene15135,stra6,sp|Q9BX79|STRA6_HUMAN,54.55,55,25,0,9710,9874,146,200,4.00E-12,73.2,Stimulated by retinoic acid gene 6 protein homolog OS=Homo sapiens GN=STRA6 PE=1 SV=1
gene15137,LOC106927170,sp|P05108|CP11A_HUMAN,39.88,163,65,1,1089,1577,202,331,3.00E-64,106,"Cholesterol side-chain cleavage enzyme, mitochondrial OS=Homo sapiens GN=CYP11A1 PE=1 SV=2"
gene15138,stoml1,sp|Q9UBI4|STML1_HUMAN,58.57,70,29,0,1232,1441,128,197,6.00E-20,93.6,Stomatin-like protein 1 OS=Homo sapiens GN=STOML1 PE=1 SV=1
gene15139,nr2e3,sp|Q9Y5X4|NR2E3_HUMAN,44.03,159,39,5,1080,1550,81,191,2.00E-42,106,Photoreceptor-specific nuclear receptor OS=Homo sapiens GN=NR2E3 PE=1 SV=1
gene1514,LOC106927257,sp|Q86UL8|MAGI2_HUMAN,92,50,4,0,17170,17319,1188,1237,7.00E-09,62.8,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Homo sapiens GN=MAGI2 PE=1 SV=3"
gene15140,LOC106927151,sp|P06865|HEXA_HUMAN,42.96,135,27,1,2632,3036,273,357,8.00E-24,107,Beta-hexosaminidase subunit alpha OS=Homo sapiens GN=HEXA PE=1 SV=2
gene15141,arih1,sp|Q9Y4X5|ARI1_HUMAN,63.19,182,11,3,10924,11469,405,530,2.00E-57,211,E3 ubiquitin-protein ligase ARIH1 OS=Homo sapiens GN=ARIH1 PE=1 SV=2
gene15142,LOC106927157,sp|Q6ZRI6|CO039_HUMAN,37.89,190,98,2,9040,9606,763,933,2.00E-33,143,Uncharacterized protein C15orf39 OS=Homo sapiens GN=C15orf39 PE=1 SV=3
gene15143,ppcdc,sp|Q96CD2|COAC_HUMAN,84.21,57,9,0,1678,1848,121,177,3.00E-27,110,Phosphopantothenoylcysteine decarboxylase OS=Homo sapiens GN=PPCDC PE=1 SV=2
gene15144,LOC106927160,sp|Q9P035|HACD3_HUMAN,43.64,110,30,1,1766,2095,144,221,1.00E-32,95.9,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 OS=Homo sapiens GN=HACD3 PE=1 SV=2
gene15145,vwa9,sp|Q96SY0|VWA9_HUMAN,63.04,138,24,1,398,811,1,111,6.00E-47,177,von Willebrand factor A domain-containing protein 9 OS=Homo sapiens GN=VWA9 PE=1 SV=2
gene15146,LOC106927165,sp|Q9UI40|NCKX2_HUMAN,42.58,256,137,4,1308,2063,51,300,7.00E-51,192,Sodium/potassium/calcium exchanger 2 OS=Homo sapiens GN=SLC24A2 PE=1 SV=1
gene15147,LOC106927164,sp|Q9UI40|NCKX2_HUMAN,76,200,47,1,1018,1617,115,313,6.00E-86,296,Sodium/potassium/calcium exchanger 2 OS=Homo sapiens GN=SLC24A2 PE=1 SV=1
gene15148,dennd4a,sp|Q7Z401|MYCPP_HUMAN,59.83,229,49,2,8603,9286,1,187,8.00E-74,277,C-myc promoter-binding protein OS=Homo sapiens GN=DENND4A PE=1 SV=2
gene1515,magi2,sp|Q86UL8|MAGI2_HUMAN,58.68,242,79,5,196952,197665,467,691,2.00E-71,271,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Homo sapiens GN=MAGI2 PE=1 SV=3"
gene15150,LOC106927166,sp|A6BM72|MEG11_HUMAN,56,50,21,1,3649,3798,943,991,1.00E-06,53.5,Multiple epidermal growth factor-like domains protein 11 OS=Homo sapiens GN=MEGF11 PE=2 SV=3
gene15151,LOC106927172,sp|Q8NEV1|CSK23_HUMAN,47.74,155,14,2,4057,4521,35,122,1.00E-55,94.4,Casein kinase II subunit alpha 3 OS=Homo sapiens GN=CSNK2A3 PE=1 SV=2
gene15155,nfkbid,sp|Q8NI38|IKBD_HUMAN,61.22,49,19,0,8238,8384,86,134,5.00E-19,59.3,NF-kappa-B inhibitor delta OS=Homo sapiens GN=NFKBID PE=1 SV=1
gene15157,fcgbp,sp|Q9Y6R7|FCGBP_HUMAN,33.87,558,331,7,816,2483,31,552,1.00E-99,317,IgGFc-binding protein OS=Homo sapiens GN=FCGBP PE=1 SV=3
gene1516,LOC106927276,sp|P63096|GNAI1_HUMAN,77.24,123,1,1,14876,15244,197,292,7.00E-53,191,Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens GN=GNAI1 PE=1 SV=2
gene15160,nphs1,sp|O60500|NPHN_HUMAN,30.47,128,49,1,48494,48877,801,888,7.00E-08,61.6,Nephrin OS=Homo sapiens GN=NPHS1 PE=1 SV=1
gene15161,rhobtb3,sp|O94955|RHBT3_HUMAN,44.35,124,35,1,11393,11764,484,573,3.00E-23,108,Rho-related BTB domain-containing protein 3 OS=Homo sapiens GN=RHOBTB3 PE=1 SV=2
gene15162,glrx,sp|P35754|GLRX1_HUMAN,47.14,70,37,0,79,288,1,70,9.00E-16,74.7,Glutaredoxin-1 OS=Homo sapiens GN=GLRX PE=1 SV=2
gene15163,ell2,sp|O00472|ELL2_HUMAN,67.42,89,29,0,7845,8111,160,248,1.00E-28,125,RNA polymerase II elongation factor ELL2 OS=Homo sapiens GN=ELL2 PE=1 SV=2
gene15164,LOC106927187,sp|Q8N5D6|GBGT1_HUMAN,41.08,241,141,1,2595,3317,83,322,1.00E-54,194,"Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 OS=Homo sapiens GN=GBGT1 PE=2 SV=2"
gene15165,pcsk1,sp|P29120|NEC1_HUMAN,66.43,143,17,1,8419,8847,366,477,4.00E-87,195,Neuroendocrine convertase 1 OS=Homo sapiens GN=PCSK1 PE=1 SV=2
gene15169,LOC106927192,sp|Q9H898|ZMAT4_HUMAN,50,52,26,0,3139,3294,141,192,4.00E-09,58.9,Zinc finger matrin-type protein 4 OS=Homo sapiens GN=ZMAT4 PE=1 SV=1
gene1517,cd36,sp|P16671|CD36_HUMAN,39.04,187,54,2,5164,5724,273,399,5.00E-33,135,Platelet glycoprotein 4 OS=Homo sapiens GN=CD36 PE=1 SV=2
gene15170,gnrh2,sp|O43555|GON2_HUMAN,85,20,3,0,566,625,21,40,8.00E-05,42,Progonadoliberin-2 OS=Homo sapiens GN=GNRH2 PE=2 SV=1
gene15171,ptpra,sp|P18433|PTPRA_HUMAN,59.84,127,20,1,30743,31123,443,538,8.00E-74,145,Receptor-type tyrosine-protein phosphatase alpha OS=Homo sapiens GN=PTPRA PE=1 SV=2
gene15172,idh3b,sp|O43837|IDH3B_HUMAN,51.3,115,26,2,3130,3474,112,196,4.00E-23,104,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Homo sapiens GN=IDH3B PE=1 SV=2"
gene15173,wdr1,sp|O75083|WDR1_HUMAN,59.38,128,20,2,1966,2346,30,126,5.00E-35,144,WD repeat-containing protein 1 OS=Homo sapiens GN=WDR1 PE=1 SV=4
gene15175,zdhhc17,sp|Q8IUH5|ZDH17_HUMAN,58.93,112,16,1,17126,17461,475,556,1.00E-43,137,Palmitoyltransferase ZDHHC17 OS=Homo sapiens GN=ZDHHC17 PE=1 SV=2
gene15176,LOC106927201,sp|Q16527|CSRP2_HUMAN,72.92,48,13,0,4774,4917,90,137,1.00E-16,80.1,Cysteine and glycine-rich protein 2 OS=Homo sapiens GN=CSRP2 PE=1 SV=3
gene15178,e2f7,sp|A0AVK6|E2F8_HUMAN,42.86,161,75,3,3700,4176,152,297,2.00E-45,105,Transcription factor E2F8 OS=Homo sapiens GN=E2F8 PE=1 SV=1
gene1518,sema3c,sp|Q99985|SEM3C_HUMAN,59.82,112,22,1,29704,30039,217,305,6.00E-52,142,Semaphorin-3C OS=Homo sapiens GN=SEMA3C PE=2 SV=2
gene15181,LOC106927198,sp|Q8IVL1|NAV2_HUMAN,76.09,46,11,0,50830,50967,89,134,5.00E-13,78.2,Neuron navigator 2 OS=Homo sapiens GN=NAV2 PE=1 SV=3
gene15183,fjx1,sp|Q86VR8|FJX1_HUMAN,51.72,377,158,6,614,1729,76,433,2.00E-110,358,Four-jointed box protein 1 OS=Homo sapiens GN=FJX1 PE=2 SV=1
gene15184,pamr1,sp|Q6UXH9|PAMR1_HUMAN,39.59,341,139,10,30607,31617,443,720,5.00E-59,221,Inactive serine protease PAMR1 OS=Homo sapiens GN=PAMR1 PE=1 SV=1
gene15185,slc1a2,sp|P43003|EAA1_HUMAN,75.76,66,16,0,28019,28216,364,429,4.00E-45,108,Excitatory amino acid transporter 1 OS=Homo sapiens GN=SLC1A3 PE=1 SV=1
gene15187,ptrf,sp|Q6NZI2|PTRF_HUMAN,58.64,162,33,2,391,876,217,344,3.00E-50,179,Polymerase I and transcript release factor OS=Homo sapiens GN=PTRF PE=1 SV=1
gene15188,LOC106927210,sp|P42229|STA5A_HUMAN,49.66,147,22,1,3380,3820,1,95,2.00E-27,123,Signal transducer and activator of transcription 5A OS=Homo sapiens GN=STAT5A PE=1 SV=1
gene15189,naglu,sp|P54802|ANAG_HUMAN,50.57,530,217,2,13647,15233,252,737,3.00E-174,557,Alpha-N-acetylglucosaminidase OS=Homo sapiens GN=NAGLU PE=1 SV=2
gene1519,LOC106927283,sp|Q6UWF9|F180A_HUMAN,42.99,107,59,2,40100,40420,59,163,4.00E-18,86.3,Protein FAM180A OS=Homo sapiens GN=FAM180A PE=2 SV=1
gene15190,ipmk,sp|Q8NFU5|IPMK_HUMAN,50.38,131,25,1,6835,7227,93,183,8.00E-32,131,Inositol polyphosphate multikinase OS=Homo sapiens GN=IPMK PE=1 SV=1
gene15191,LOC106927222,sp|P05423|RPC4_HUMAN,73.53,34,9,0,5260,5361,360,393,1.00E-05,50.1,DNA-directed RNA polymerase III subunit RPC4 OS=Homo sapiens GN=POLR3D PE=1 SV=2
gene15192,tfam,sp|Q00059|TFAM_HUMAN,60,35,14,0,11149,11253,198,232,6.00E-08,52.8,"Transcription factor A, mitochondrial OS=Homo sapiens GN=TFAM PE=1 SV=1"
gene15194,rab3gap1,sp|Q15042|RB3GP_HUMAN,82.5,80,14,0,16197,16436,685,764,3.00E-35,149,Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens GN=RAB3GAP1 PE=1 SV=3
gene15195,fasn,sp|P49327|FAS_HUMAN,69.63,135,41,0,35330,35734,2002,2136,2.00E-59,204,Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3
gene15196,tmem94,sp|Q12767|K0195_HUMAN,58.66,179,38,3,20004,20528,730,876,5.00E-81,197,Uncharacterized protein KIAA0195 OS=Homo sapiens GN=KIAA0195 PE=1 SV=1
gene15197,LOC106927216,sp|Q05BQ5|MBTD1_HUMAN,62.29,175,10,3,8366,8833,427,564,1.00E-55,207,MBT domain-containing protein 1 OS=Homo sapiens GN=MBTD1 PE=1 SV=2
gene15198,tdrkh,sp|Q9Y2W6|TDRKH_HUMAN,70.91,55,16,0,12813,12977,295,349,4.00E-16,85.5,Tudor and KH domain-containing protein OS=Homo sapiens GN=TDRKH PE=1 SV=2
gene15199,LOC106927218,sp|O00746|NDKM_HUMAN,59.09,44,18,0,4479,4610,67,110,1.00E-17,58.2,"Nucleoside diphosphate kinase, mitochondrial OS=Homo sapiens GN=NME4 PE=1 SV=1"
gene1520,LOC106927328,sp|P58546|MTPN_HUMAN,50,72,29,4,1863,2066,24,92,4.00E-08,53.9,Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2
gene15200,tecpr1,sp|Q7Z6L1|TCPR1_HUMAN,79.52,83,17,0,12515,12763,756,838,9.00E-26,118,Tectonin beta-propeller repeat-containing protein 1 OS=Homo sapiens GN=TECPR1 PE=1 SV=1
gene15201,bhlha15,sp|Q7RTS1|BHA15_HUMAN,80,70,14,0,5117,5326,76,145,2.00E-29,116,Class A basic helix-loop-helix protein 15 OS=Homo sapiens GN=BHLHA15 PE=1 SV=1
gene15203,map3k10,sp|P80192|M3K9_HUMAN,69.23,221,68,0,274,936,49,269,5.00E-81,295,Mitogen-activated protein kinase kinase kinase 9 OS=Homo sapiens GN=MAP3K9 PE=1 SV=3
gene15204,LOC106927226,sp|Q8N6N2|TTC9B_HUMAN,77.05,61,14,0,19460,19642,143,203,2.00E-23,103,Tetratricopeptide repeat protein 9B OS=Homo sapiens GN=TTC9B PE=2 SV=1
gene15205,LOC106927230,sp|Q8N9M1|CS047_HUMAN,76.92,39,9,0,2669,2785,73,111,5.00E-11,67.4,Uncharacterized protein C19orf47 OS=Homo sapiens GN=C19orf47 PE=1 SV=1
gene15206,fosb,sp|P53539|FOSB_HUMAN,63.79,58,16,2,2764,2937,54,106,1.00E-08,58.9,Protein fosB OS=Homo sapiens GN=FOSB PE=2 SV=1
gene15207,LOC106927227,sp|P20807|CAN3_HUMAN,27.43,175,63,4,7227,7745,397,509,3.00E-15,52.4,Calpain-3 OS=Homo sapiens GN=CAPN3 PE=1 SV=2
gene15209,LOC106927228,sp|Q9C0K0|BC11B_HUMAN,66.33,98,28,2,8986,9267,782,878,8.00E-33,139,B-cell lymphoma/leukemia 11B OS=Homo sapiens GN=BCL11B PE=1 SV=1
gene15210,clasrp,sp|Q8N2M8|CLASR_HUMAN,38.83,103,11,1,2976,3284,101,151,3.00E-12,72.8,CLK4-associating serine/arginine rich protein OS=Homo sapiens GN=CLASRP PE=1 SV=4
gene15211,LOC106927233,sp|P78504|JAG1_HUMAN,55,80,36,0,41502,41741,151,230,3.00E-21,105,Protein jagged-1 OS=Homo sapiens GN=JAG1 PE=1 SV=3
gene15213,fat4,sp|Q6V0I7|FAT4_HUMAN,70.51,1733,494,9,375,5531,1,1730,1.00E-99,2476,Protocadherin Fat 4 OS=Homo sapiens GN=FAT4 PE=1 SV=2
gene15214,LOC106927250,sp|Q8TCB0|IFI44_HUMAN,46.55,58,31,0,3253,3426,167,224,5.00E-09,62,Interferon-induced protein 44 OS=Homo sapiens GN=IFI44 PE=2 SV=2
gene15216,LOC106927251,sp|Q53G44|IF44L_HUMAN,50,46,23,0,203,340,391,436,9.00E-07,47,Interferon-induced protein 44-like OS=Homo sapiens GN=IFI44L PE=2 SV=3
gene15217,LOC106927236,sp|Q8TCB0|IFI44_HUMAN,45.76,59,32,0,31,207,167,225,1.00E-09,60.1,Interferon-induced protein 44 OS=Homo sapiens GN=IFI44 PE=2 SV=2
gene15219,sucla2,sp|Q9P2R7|SUCB1_HUMAN,85.19,54,8,0,4940,5101,125,178,5.00E-24,109,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens GN=SUCLA2 PE=1 SV=3"
gene1522,LOC106927335,sp|P08172|ACM2_HUMAN,69.77,483,109,8,69648,71081,16,466,1.00E-99,644,Muscarinic acetylcholine receptor M2 OS=Homo sapiens GN=CHRM2 PE=1 SV=1
gene15220,med4,sp|Q9NPJ6|MED4_HUMAN,74.19,62,16,0,1038,1223,63,124,2.00E-20,92.8,Mediator of RNA polymerase II transcription subunit 4 OS=Homo sapiens GN=MED4 PE=1 SV=1
gene15222,LOC106927239,sp|Q7RTR2|NLRC3_HUMAN,31.43,579,348,19,11039,12697,88,643,3.00E-71,264,Protein NLRC3 OS=Homo sapiens GN=NLRC3 PE=2 SV=2
gene15223,LOC106927243,sp|Q7RTR2|NLRC3_HUMAN,32.38,525,311,17,8868,10370,139,643,2.00E-68,254,Protein NLRC3 OS=Homo sapiens GN=NLRC3 PE=2 SV=2
gene15225,itm2b,sp|Q9Y287|ITM2B_HUMAN,63.16,57,21,0,17901,18071,152,208,6.00E-20,72.8,Integral membrane protein 2B OS=Homo sapiens GN=ITM2B PE=1 SV=1
gene15226,nek5,sp|Q96PY6|NEK1_HUMAN,86.21,29,4,0,3100,3186,104,132,1.00E-18,60.5,Serine/threonine-protein kinase Nek1 OS=Homo sapiens GN=NEK1 PE=1 SV=2
gene15227,LOC106927247,sp|Q2TAA5|ALG11_HUMAN,57.6,217,64,3,3061,3708,214,403,4.00E-69,242,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Homo sapiens GN=ALG11 PE=1 SV=2"
gene15228,lcp1,sp|P13796|PLSL_HUMAN,75.36,69,17,0,7361,7567,324,392,6.00E-87,121,Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6
gene15229,cnot11,sp|Q9UKZ1|CNO11_HUMAN,81.58,76,13,1,5918,6142,278,353,5.00E-56,140,CCR4-NOT transcription complex subunit 11 OS=Homo sapiens GN=CNOT11 PE=1 SV=1
gene1523,LOC106927343,sp|P21246|PTN_HUMAN,67.92,53,17,0,33608,33766,98,150,8.00E-15,76.6,Pleiotrophin OS=Homo sapiens GN=PTN PE=1 SV=1
gene15230,LOC106927248,sp|Q9NYB9|ABI2_HUMAN,61.61,112,25,3,16658,16981,57,154,2.00E-27,121,Abl interactor 2 OS=Homo sapiens GN=ABI2 PE=1 SV=1
gene15231,LOC106927254,sp|Q96Q45|TM237_HUMAN,55.17,116,25,1,2943,3290,226,314,8.00E-31,111,Transmembrane protein 237 OS=Homo sapiens GN=TMEM237 PE=1 SV=2
gene15233,LOC106927256,sp|P17025|ZN182_HUMAN,56.86,204,88,0,20487,21098,422,625,1.00E-69,250,Zinc finger protein 182 OS=Homo sapiens GN=ZNF182 PE=2 SV=2
gene15234,vav3,sp|Q9UKW4|VAV3_HUMAN,82.61,69,12,0,306,512,1,69,2.00E-26,122,Guanine nucleotide exchange factor VAV3 OS=Homo sapiens GN=VAV3 PE=1 SV=1
gene15236,LOC106927258,sp|Q9Y2I2|NTNG1_HUMAN,82.76,58,10,0,33765,33938,361,418,9.00E-24,110,Netrin-G1 OS=Homo sapiens GN=NTNG1 PE=1 SV=3
